model_name,accuracy,loss,val_accuracy,val_loss,epoch,batch_size,featurewise_center,samplewise_center,featurewise_std_normalization,samplewise_std_normalization,zca_whitening,zca_epsilon,rotation_range,width_shift_range,height_shift_range,shear_range,zoom_range,channel_shift_range,fill_mode,cval,horizontal_flip,vertical_flip,rescale,preprocessing_function,dtype,interpolation_order,data_format,channel_axis,row_axis,col_axis,_validation_split,mean,std,zca_whitening_matrix,brightness_range
VGG16,0.8512175679206848,0.3553031384944916,0.8128342032432556,0.44257113337516785,18,32,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.851752758026123,0.35084068775177,0.8245989084243774,0.4265039563179016,25,32,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8464008569717407,0.3597241938114166,0.825668454170227,0.43456196784973145,30,32,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.7985014915466309,0.47730037569999695,0.8053476214408875,0.4672401249408722,0,32,True,False,True,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16max2d,0.6703237891197205,0.791850745677948,0.7700534462928772,0.5644391179084778,0,32,False,True,False,True,False,"0,000001",5,0.13,0.13,0.13,"[0.9, 1.1]",0.0,nearest,0.0,True,False,,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16max2d,0.7730799913406372,0.5568873286247253,0.7957219481468201,0.49869775772094727,1,32,False,True,False,True,False,"0,000001",5,0.13,0.13,0.13,"[0.9, 1.1]",0.0,nearest,0.0,True,False,,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16max2d,0.8049237132072449,0.48588016629219055,0.8096256852149963,0.4745275378227234,4,32,False,True,False,True,False,"0,000001",5,0.13,0.13,0.13,"[0.9, 1.1]",0.0,nearest,0.0,True,False,,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16max2d,0.8207117915153503,0.43733498454093933,0.8106951713562012,0.4521646201610565,7,32,False,True,False,True,False,"0,000001",5,0.13,0.13,0.13,"[0.9, 1.1]",0.0,nearest,0.0,True,False,,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16max2d,0.8426545262336731,0.3878759741783142,0.8160427808761597,0.4729611575603485,12,32,False,True,False,True,False,"0,000001",5,0.13,0.13,0.13,"[0.9, 1.1]",0.0,nearest,0.0,True,False,,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16max2d,0.6738024950027466,0.7842531800270081,0.7754010558128357,0.5766415596008301,0,64,False,True,False,True,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,False,False,,,float32,1,channels_last,3,1,2,0.0,,,,
